职位名称,公司名称,薪资范围,工作经验,福利待遇,数据来源,爬取方式,爬取时间
"Python Web 初级工程师
杭州·拱墅区·水晶城","帕奇拉科技

计算机软件不需要融资20-99人",面议,杭州·拱墅区·水晶城,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:12
"【OD】ai软件开发 - Python
杭州·滨江区·长河","华为科技有限公司

通信/网络设备不需要融资10000人以上",面议,杭州·滨江区·长河,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:12
"python 工程师
杭州·萧山区·奥体中心","杭州橙风信息科技

计算机服务A轮20-99人",面议,杭州·萧山区·奥体中心,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:13
"Python 工程师
杭州·滨江区·长河","巨同通信

通信/网络设备不需要融资20-99人",面议,杭州·滨江区·长河,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:13
"Python 工程师
杭州·余杭区·仓前","智慧明华

互联网未融资0-20人",面议,杭州·余杭区·仓前,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:14
"ai应用工程师/python
杭州·上城区·九堡","杭州职映科技有限公司

人工智能0-20人",面议,杭州·上城区·九堡,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:15
"资深 Python 开发工程师
杭州·西湖区·西溪","Longbridge 长桥

互联网A轮100-499人",面议,杭州·西湖区·西溪,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:15
"Python/C/C++开发工程师
杭州·滨江区·长河","华为

计算机软件不需要融资10000人以上",面议,杭州·滨江区·长河,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:16
"AI应用后端工程师（python）
杭州·西湖区·西溪","讯盟科技

互联网C轮100-499人",面议,杭州·西湖区·西溪,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:16
"Python 实习生（AI agent方向）
杭州·余杭区·仓前","玄峰科技

互联网未融资0-20人",面议,杭州·余杭区·仓前,福利面议,BOSS直聘,Playwright隐身浏览器,2025-11-30 22:30:17
